7
S    6    1.000000
   6.11326200E+04    1.76611100E-03
   9.17934200E+03    1.35303800E-02
   2.09085700E+03    6.67312800E-02
   5.89247900E+02    2.31482300E-01
   1.88754300E+02    4.79705800E-01
   6.44462900E+01    3.50197600E-01
SP   6    1.000000
   1.25998000E+03    2.43801400E-03   4.02801900E-03
   2.99876100E+02    3.22404800E-02   3.14464700E-02
   9.68491700E+01    1.26572400E-01   1.36831700E-01
   3.63102000E+01   -3.13990200E-02   3.48723600E-01
   1.47299600E+01   -6.20759300E-01   4.61793100E-01
   6.06607500E+00   -4.50291400E-01   2.04305800E-01
SP   6    1.000000
   5.04348500E+01   -3.87325600E-03  -7.01712800E-03
   1.68392900E+01    7.19659800E-02  -2.87766000E-02
   7.19208600E+00    2.55659100E-01   6.18138300E-02
   3.05342000E+00   -2.88283700E-01   3.95494600E-01
   1.27364300E+00   -7.34282200E-01   4.98905900E-01
   5.04091000E-01   -2.04935300E-01   1.79125100E-01
SP   3    1.000000
   1.95031600E+00    5.69486900E-02  -4.59379600E-01
   7.36721000E-01    2.88291500E-01   2.85213900E-01
   1.14177000E-01   -1.13815900E+00   9.07648500E-01
SP   1    1.000000
   4.11480000E-02    1.00000000E+00   1.00000000E+00
D    3    1.000000
   2.31499400E+01    8.87693500E-02
   6.12236800E+00    3.89631900E-01
   1.84660100E+00    7.01481600E-01
D    1    1.000000
   5.04361000E-01    1.00000000E+00

